number	state	disposition	cluster	matrixKey	owner	proofKind	action	command	title	url	reason
886	CLOSED	keep-portable	selection-dom-caret	Selection, caret, DOM range, focus, keyboard navigation, drag/drop	.tmp/slate-v2/playwright/stress/generated-editing.test.ts	browser model/native selection proof	refactor-existing/create-new	PLAYWRIGHT_BASE_URL=http://localhost:3100 PLAYWRIGHT_RETRIES=0 PLAYWRIGHT_WORKERS=1 bun playwright playwright/stress/generated-editing.test.ts --project=chromium --grep "selection|range|cursor|caret"	Children in a list item get deleted after enter	https://github.com/ProseMirror/prosemirror/issues/886	Kept for Selection, caret, DOM range, focus, keyboard navigation, drag/drop; closure requires exact Slate-v2 proof, fresh verified Slate-v2 test, or concrete defer owner.
887	CLOSED	skip	docs-release-package	Skip: docs-release-package	N/A	N/A	skip	N/A	EditorView.destroy() clears dom for mounted, in-place editors	https://github.com/ProseMirror/prosemirror/issues/887	Skipped as docs-release-package; no title-level portable Slate-v2 editor invariant.
888	CLOSED	keep-portable	model-schema-transform	Document model, schema, transforms, joins, splits, mapping	.tmp/slate-v2/packages/slate/test/transforms-contract.ts; .tmp/slate-v2/packages/slate/test/query-contract.ts	Slate model/operation package proof	refactor-existing/create-new	bun test ./packages/slate/test/transforms-contract.ts ./packages/slate/test/query-contract.ts --test-name-pattern "schema|normalize|join|split|replace|range|node"	Getting `Cannot read property 'type' of undefined` when trying to create schema using instructions from Documentation	https://github.com/ProseMirror/prosemirror/issues/888	Kept for Document model, schema, transforms, joins, splits, mapping; closure requires exact Slate-v2 proof, fresh verified Slate-v2 test, or concrete defer owner.
889	CLOSED	keep-portable	model-schema-transform	Document model, schema, transforms, joins, splits, mapping	.tmp/slate-v2/packages/slate/test/transforms-contract.ts; .tmp/slate-v2/packages/slate/test/query-contract.ts	Slate model/operation package proof	refactor-existing/create-new	bun test ./packages/slate/test/transforms-contract.ts ./packages/slate/test/query-contract.ts --test-name-pattern "schema|normalize|join|split|replace|range|node"	[prosemirror-schema-list] `sinkListItem` copying block marks from parent	https://github.com/ProseMirror/prosemirror/issues/889	Kept for Document model, schema, transforms, joins, splits, mapping; closure requires exact Slate-v2 proof, fresh verified Slate-v2 test, or concrete defer owner.
890	CLOSED	keep-portable	clipboard-paste-serialization	Clipboard, paste, copy, cut, HTML, markdown, DOM parser/serializer	.tmp/slate-v2/playwright/integration/examples/paste-html.test.ts; .tmp/slate-v2/packages/slate-dom/test/clipboard-boundary.ts	browser clipboard/serialization proof	refactor-existing/create-new	PLAYWRIGHT_BASE_URL=http://localhost:3100 PLAYWRIGHT_RETRIES=0 PLAYWRIGHT_WORKERS=1 bun playwright playwright/integration/examples/paste-html.test.ts --project=chromium --grep "paste|clipboard|copy|cut"	How to serialize a Transaction?	https://github.com/ProseMirror/prosemirror/issues/890	Kept for Clipboard, paste, copy, cut, HTML, markdown, DOM parser/serializer; closure requires exact Slate-v2 proof, fresh verified Slate-v2 test, or concrete defer owner.
891	CLOSED	defer	mobile-touch-keyboard	Raw mobile, touch, Android, iOS	Slate-v2 raw mobile/browser proof owner	raw Android/iOS/mobile browser proof required	defer-raw-device	bun test:mobile-device-proof:raw or add a focused raw-device/platform browser target	Uncaught exception when deleting characters from within Android WebView	https://github.com/ProseMirror/prosemirror/issues/891	Kept for Raw mobile, touch, Android, iOS; closure requires exact Slate-v2 proof, fresh verified Slate-v2 test, or concrete defer owner.
892	CLOSED	keep-portable	collaboration-rebase	Collaboration, remote steps, shared history, rebasing	.tmp/slate-v2/packages/slate/test/collab-history-runtime-contract.ts; future yjs/browser collaboration lane	package remote-edit/history proof; browser/provider proof when transport matters	create-new/defer-collab-browser	bun test ./packages/slate/test/collab-history-runtime-contract.ts --test-name-pattern "remote|selection|history|collab"	selection, undo and collaboration produce range errors	https://github.com/ProseMirror/prosemirror/issues/892	Kept for Collaboration, remote steps, shared history, rebasing; closure requires exact Slate-v2 proof, fresh verified Slate-v2 test, or concrete defer owner.
893	CLOSED	keep-portable	clipboard-paste-serialization	Clipboard, paste, copy, cut, HTML, markdown, DOM parser/serializer	.tmp/slate-v2/playwright/integration/examples/paste-html.test.ts; .tmp/slate-v2/packages/slate-dom/test/clipboard-boundary.ts	browser clipboard/serialization proof	refactor-existing/create-new	PLAYWRIGHT_BASE_URL=http://localhost:3100 PLAYWRIGHT_RETRIES=0 PLAYWRIGHT_WORKERS=1 bun playwright playwright/integration/examples/paste-html.test.ts --project=chromium --grep "paste|clipboard|copy|cut"	Whitespaces are not preserving in DOMParser	https://github.com/ProseMirror/prosemirror/issues/893	Kept for Clipboard, paste, copy, cut, HTML, markdown, DOM parser/serializer; closure requires exact Slate-v2 proof, fresh verified Slate-v2 test, or concrete defer owner.
894	CLOSED	keep-portable	decoration-nodeview-inline-void	Decorations, NodeView, inline/atom/void boundaries	.tmp/slate-v2/playwright/integration/examples/inlines.test.ts; .tmp/slate-v2/playwright/integration/examples/editable-voids.test.ts	browser decoration/inline/void boundary proof	refactor-existing/create-new	PLAYWRIGHT_BASE_URL=http://localhost:3100 PLAYWRIGHT_RETRIES=0 PLAYWRIGHT_WORKERS=1 bun playwright playwright/integration/examples/inlines.test.ts --project=chromium --grep "inline|link|decorator|void|triple-click|Backspace|Enter"	endOfTextBlock with up/down returns true when in a link not at end of block	https://github.com/ProseMirror/prosemirror/issues/894	Kept for Decorations, NodeView, inline/atom/void boundaries; closure requires exact Slate-v2 proof, fresh verified Slate-v2 test, or concrete defer owner.
895	CLOSED	keep-portable	selection-dom-caret	Selection, caret, DOM range, focus, keyboard navigation, drag/drop	.tmp/slate-v2/playwright/stress/generated-editing.test.ts	browser model/native selection proof	refactor-existing/create-new	PLAYWRIGHT_BASE_URL=http://localhost:3100 PLAYWRIGHT_RETRIES=0 PLAYWRIGHT_WORKERS=1 bun playwright playwright/stress/generated-editing.test.ts --project=chromium --grep "selection|range|cursor|caret"	Bold, Italics keyboard shortcuts doesn't work on Windows & Linux (Chrome + Mozilla), when Caps Lock is turned ON	https://github.com/ProseMirror/prosemirror/issues/895	Kept for Selection, caret, DOM range, focus, keyboard navigation, drag/drop; closure requires exact Slate-v2 proof, fresh verified Slate-v2 test, or concrete defer owner.
896	CLOSED	skip	docs-release-package	Skip: docs-release-package	N/A	N/A	skip	N/A	Infinte loop in elementFromPoint	https://github.com/ProseMirror/prosemirror/issues/896	Skipped as docs-release-package; no title-level portable Slate-v2 editor invariant.
897	CLOSED	keep-portable	table-grid-editing	Tables, cells, rows, columns, grid selection	.tmp/slate-v2/playwright/integration/examples/tables.test.ts; future table model owner	browser table containment/navigation/clipboard proof	refactor-existing/create-new/defer-model	PLAYWRIGHT_BASE_URL=http://localhost:3100 PLAYWRIGHT_RETRIES=0 PLAYWRIGHT_WORKERS=1 bun playwright playwright/integration/examples/tables.test.ts --project=chromium --grep "table|cell|selection|paste|drag"	Cannot set CellSelection via clicking on table controls 	https://github.com/ProseMirror/prosemirror/issues/897	Kept for Tables, cells, rows, columns, grid selection; closure requires exact Slate-v2 proof, fresh verified Slate-v2 test, or concrete defer owner.
898	OPEN	skip	support-question	Skip: support-question	N/A	N/A	skip	N/A	Add support for xmlns elements in DOMOutputSpec	https://github.com/ProseMirror/prosemirror/issues/898	Skipped as support-question; no title-level portable Slate-v2 editor invariant.
899	OPEN	keep-portable	model-schema-transform	Document model, schema, transforms, joins, splits, mapping	.tmp/slate-v2/packages/slate/test/transforms-contract.ts; .tmp/slate-v2/packages/slate/test/query-contract.ts	Slate model/operation package proof	refactor-existing/create-new	bun test ./packages/slate/test/transforms-contract.ts ./packages/slate/test/query-contract.ts --test-name-pattern "schema|normalize|join|split|replace|range|node"	coordsAtPos is underspecified at line wrap points	https://github.com/ProseMirror/prosemirror/issues/899	Kept for Document model, schema, transforms, joins, splits, mapping; closure requires exact Slate-v2 proof, fresh verified Slate-v2 test, or concrete defer owner.
900	OPEN	keep-portable	selection-dom-caret	Selection, caret, DOM range, focus, keyboard navigation, drag/drop	.tmp/slate-v2/playwright/stress/generated-editing.test.ts	browser model/native selection proof	refactor-existing/create-new	PLAYWRIGHT_BASE_URL=http://localhost:3100 PLAYWRIGHT_RETRIES=0 PLAYWRIGHT_WORKERS=1 bun playwright playwright/stress/generated-editing.test.ts --project=chromium --grep "selection|range|cursor|caret"	coordsAtPos is bad at bidirectional text	https://github.com/ProseMirror/prosemirror/issues/900	Kept for Selection, caret, DOM range, focus, keyboard navigation, drag/drop; closure requires exact Slate-v2 proof, fresh verified Slate-v2 test, or concrete defer owner.
901	CLOSED	keep-portable	decoration-nodeview-inline-void	Decorations, NodeView, inline/atom/void boundaries	.tmp/slate-v2/playwright/integration/examples/inlines.test.ts; .tmp/slate-v2/playwright/integration/examples/editable-voids.test.ts	browser decoration/inline/void boundary proof	refactor-existing/create-new	PLAYWRIGHT_BASE_URL=http://localhost:3100 PLAYWRIGHT_RETRIES=0 PLAYWRIGHT_WORKERS=1 bun playwright playwright/integration/examples/inlines.test.ts --project=chromium --grep "inline|link|decorator|void|triple-click|Backspace|Enter"	[prosemirror-view] Adding a decoration between two identical characters deletes the latter character from the view	https://github.com/ProseMirror/prosemirror/issues/901	Kept for Decorations, NodeView, inline/atom/void boundaries; closure requires exact Slate-v2 proof, fresh verified Slate-v2 test, or concrete defer owner.
902	CLOSED	keep-portable	clipboard-paste-serialization	Clipboard, paste, copy, cut, HTML, markdown, DOM parser/serializer	.tmp/slate-v2/playwright/integration/examples/paste-html.test.ts; .tmp/slate-v2/packages/slate-dom/test/clipboard-boundary.ts	browser clipboard/serialization proof	refactor-existing/create-new	PLAYWRIGHT_BASE_URL=http://localhost:3100 PLAYWRIGHT_RETRIES=0 PLAYWRIGHT_WORKERS=1 bun playwright playwright/integration/examples/paste-html.test.ts --project=chromium --grep "paste|clipboard|copy|cut"	Support for <textarea></textarea> in HTML forms?	https://github.com/ProseMirror/prosemirror/issues/902	Kept for Clipboard, paste, copy, cut, HTML, markdown, DOM parser/serializer; closure requires exact Slate-v2 proof, fresh verified Slate-v2 test, or concrete defer owner.
903	CLOSED	defer	mobile-touch-keyboard	Raw mobile, touch, Android, iOS	Slate-v2 raw mobile/browser proof owner	raw Android/iOS/mobile browser proof required	defer-raw-device	bun test:mobile-device-proof:raw or add a focused raw-device/platform browser target	Backspacing out inline nodes on mobile sometimes breaks	https://github.com/ProseMirror/prosemirror/issues/903	Kept for Raw mobile, touch, Android, iOS; closure requires exact Slate-v2 proof, fresh verified Slate-v2 test, or concrete defer owner.
904	CLOSED	defer	mobile-touch-keyboard	Raw mobile, touch, Android, iOS	Slate-v2 raw mobile/browser proof owner	raw Android/iOS/mobile browser proof required	defer-raw-device	bun test:mobile-device-proof:raw or add a focused raw-device/platform browser target	Enter at the end of the document doesn't work on mobile in some situations	https://github.com/ProseMirror/prosemirror/issues/904	Kept for Raw mobile, touch, Android, iOS; closure requires exact Slate-v2 proof, fresh verified Slate-v2 test, or concrete defer owner.
905	CLOSED	skip	docs-release-package	Skip: docs-release-package	N/A	N/A	skip	N/A	Decorating multiple occurrences of the same text in a text node removes all occurrences but the first	https://github.com/ProseMirror/prosemirror/issues/905	Skipped as docs-release-package; no title-level portable Slate-v2 editor invariant.
906	CLOSED	plate-owned	plate-plugin-policy	Product/plugin policy above Slate core	Plate plugin/package/docs/example owner	Plate package/example proof; deferred under Slate-v2-only scope	plate-owned-defer	select Plate package/example owner before applying outside Slate-v2-only run	Devtools yield "URI Malformed" error when unicode emoji present	https://github.com/ProseMirror/prosemirror/issues/906	Kept for Product/plugin policy above Slate core; closure requires exact Slate-v2 proof, fresh verified Slate-v2 test, or concrete defer owner.
907	CLOSED	keep-portable	model-schema-transform	Document model, schema, transforms, joins, splits, mapping	.tmp/slate-v2/packages/slate/test/transforms-contract.ts; .tmp/slate-v2/packages/slate/test/query-contract.ts	Slate model/operation package proof	refactor-existing/create-new	bun test ./packages/slate/test/transforms-contract.ts ./packages/slate/test/query-contract.ts --test-name-pattern "schema|normalize|join|split|replace|range|node"	Marks are not applied to content that comes after an excluded nested mark	https://github.com/ProseMirror/prosemirror/issues/907	Kept for Document model, schema, transforms, joins, splits, mapping; closure requires exact Slate-v2 proof, fresh verified Slate-v2 test, or concrete defer owner.
908	CLOSED	skip	support-question	Skip: support-question	N/A	N/A	skip	N/A	Limit characters in output (getHTML)	https://github.com/ProseMirror/prosemirror/issues/908	Skipped as support-question; no title-level portable Slate-v2 editor invariant.
909	CLOSED	keep-portable	selection-dom-caret	Selection, caret, DOM range, focus, keyboard navigation, drag/drop	.tmp/slate-v2/playwright/stress/generated-editing.test.ts	browser model/native selection proof	refactor-existing/create-new	PLAYWRIGHT_BASE_URL=http://localhost:3100 PLAYWRIGHT_RETRIES=0 PLAYWRIGHT_WORKERS=1 bun playwright playwright/stress/generated-editing.test.ts --project=chromium --grep "selection|range|cursor|caret"	Selection state not alway updated	https://github.com/ProseMirror/prosemirror/issues/909	Kept for Selection, caret, DOM range, focus, keyboard navigation, drag/drop; closure requires exact Slate-v2 proof, fresh verified Slate-v2 test, or concrete defer owner.
910	CLOSED	keep-portable	decoration-nodeview-inline-void	Decorations, NodeView, inline/atom/void boundaries	.tmp/slate-v2/playwright/integration/examples/inlines.test.ts; .tmp/slate-v2/playwright/integration/examples/editable-voids.test.ts	browser decoration/inline/void boundary proof	refactor-existing/create-new	PLAYWRIGHT_BASE_URL=http://localhost:3100 PLAYWRIGHT_RETRIES=0 PLAYWRIGHT_WORKERS=1 bun playwright playwright/integration/examples/inlines.test.ts --project=chromium --grep "inline|link|decorator|void|triple-click|Backspace|Enter"	Feature Request: Inline text node with attrs	https://github.com/ProseMirror/prosemirror/issues/910	Kept for Decorations, NodeView, inline/atom/void boundaries; closure requires exact Slate-v2 proof, fresh verified Slate-v2 test, or concrete defer owner.
911	OPEN	defer	large-doc-performance	Performance, memory, layout, freeze, bundle size	Slate-v2 performance benchmark owner	focused benchmark target with correctness guardrails required	defer-benchmark-target	create or select a Slate-v2 benchmark target before runtime optimization	Performance problem with multiple block nodes	https://github.com/ProseMirror/prosemirror/issues/911	Kept for Performance, memory, layout, freeze, bundle size; closure requires exact Slate-v2 proof, fresh verified Slate-v2 test, or concrete defer owner.
912	CLOSED	keep-portable	selection-dom-caret	Selection, caret, DOM range, focus, keyboard navigation, drag/drop	.tmp/slate-v2/playwright/stress/generated-editing.test.ts	browser model/native selection proof	refactor-existing/create-new	PLAYWRIGHT_BASE_URL=http://localhost:3100 PLAYWRIGHT_RETRIES=0 PLAYWRIGHT_WORKERS=1 bun playwright playwright/stress/generated-editing.test.ts --project=chromium --grep "selection|range|cursor|caret"	Can't select after node at the end of line	https://github.com/ProseMirror/prosemirror/issues/912	Kept for Selection, caret, DOM range, focus, keyboard navigation, drag/drop; closure requires exact Slate-v2 proof, fresh verified Slate-v2 test, or concrete defer owner.
913	CLOSED	keep-portable	decoration-nodeview-inline-void	Decorations, NodeView, inline/atom/void boundaries	.tmp/slate-v2/playwright/integration/examples/inlines.test.ts; .tmp/slate-v2/playwright/integration/examples/editable-voids.test.ts	browser decoration/inline/void boundary proof	refactor-existing/create-new	PLAYWRIGHT_BASE_URL=http://localhost:3100 PLAYWRIGHT_RETRIES=0 PLAYWRIGHT_WORKERS=1 bun playwright playwright/integration/examples/inlines.test.ts --project=chromium --grep "inline|link|decorator|void|triple-click|Backspace|Enter"	Lifecycle methods of custom node view called in wrong order.	https://github.com/ProseMirror/prosemirror/issues/913	Kept for Decorations, NodeView, inline/atom/void boundaries; closure requires exact Slate-v2 proof, fresh verified Slate-v2 test, or concrete defer owner.
914	CLOSED	skip	docs-release-package	Skip: docs-release-package	N/A	N/A	skip	N/A	Unable to use the tr.setNodeMarkup on paragraph nodes	https://github.com/ProseMirror/prosemirror/issues/914	Skipped as docs-release-package; no title-level portable Slate-v2 editor invariant.
915	CLOSED	keep-portable	selection-dom-caret	Selection, caret, DOM range, focus, keyboard navigation, drag/drop	.tmp/slate-v2/playwright/stress/generated-editing.test.ts	browser model/native selection proof	refactor-existing/create-new	PLAYWRIGHT_BASE_URL=http://localhost:3100 PLAYWRIGHT_RETRIES=0 PLAYWRIGHT_WORKERS=1 bun playwright playwright/stress/generated-editing.test.ts --project=chromium --grep "selection|range|cursor|caret"	state.selection.empty sometimes return false when double click 	https://github.com/ProseMirror/prosemirror/issues/915	Kept for Selection, caret, DOM range, focus, keyboard navigation, drag/drop; closure requires exact Slate-v2 proof, fresh verified Slate-v2 test, or concrete defer owner.
916	CLOSED	keep-portable	clipboard-paste-serialization	Clipboard, paste, copy, cut, HTML, markdown, DOM parser/serializer	.tmp/slate-v2/playwright/integration/examples/paste-html.test.ts; .tmp/slate-v2/packages/slate-dom/test/clipboard-boundary.ts	browser clipboard/serialization proof	refactor-existing/create-new	PLAYWRIGHT_BASE_URL=http://localhost:3100 PLAYWRIGHT_RETRIES=0 PLAYWRIGHT_WORKERS=1 bun playwright playwright/integration/examples/paste-html.test.ts --project=chromium --grep "paste|clipboard|copy|cut"	sinkListItem should not copy parent attrs	https://github.com/ProseMirror/prosemirror/issues/916	Kept for Clipboard, paste, copy, cut, HTML, markdown, DOM parser/serializer; closure requires exact Slate-v2 proof, fresh verified Slate-v2 test, or concrete defer owner.
917	OPEN	keep-portable	selection-dom-caret	Selection, caret, DOM range, focus, keyboard navigation, drag/drop	.tmp/slate-v2/playwright/stress/generated-editing.test.ts	browser model/native selection proof	refactor-existing/create-new	PLAYWRIGHT_BASE_URL=http://localhost:3100 PLAYWRIGHT_RETRIES=0 PLAYWRIGHT_WORKERS=1 bun playwright playwright/stress/generated-editing.test.ts --project=chromium --grep "selection|range|cursor|caret"	two nodes receiving `.ProseMirror-selectnode` class in drag event 	https://github.com/ProseMirror/prosemirror/issues/917	Kept for Selection, caret, DOM range, focus, keyboard navigation, drag/drop; closure requires exact Slate-v2 proof, fresh verified Slate-v2 test, or concrete defer owner.
918	OPEN	keep-portable	history-undo-redo	History, undo/redo, transaction grouping	.tmp/slate-v2/packages/slate-history/test/history-contract.ts	package history contract proof	refactor-existing/create-new	bun test ./packages/slate-history/test/history-contract.ts --test-name-pattern "history|undo|redo|batch|selection"	Update node's attrs without affect history.	https://github.com/ProseMirror/prosemirror/issues/918	Kept for History, undo/redo, transaction grouping; closure requires exact Slate-v2 proof, fresh verified Slate-v2 test, or concrete defer owner.
919	CLOSED	skip	docs-release-package	Skip: docs-release-package	N/A	N/A	skip	N/A	ReplaceAroundStep Bug	https://github.com/ProseMirror/prosemirror/issues/919	Skipped as docs-release-package; no title-level portable Slate-v2 editor invariant.
920	CLOSED	keep-portable	decoration-nodeview-inline-void	Decorations, NodeView, inline/atom/void boundaries	.tmp/slate-v2/playwright/integration/examples/inlines.test.ts; .tmp/slate-v2/playwright/integration/examples/editable-voids.test.ts	browser decoration/inline/void boundary proof	refactor-existing/create-new	PLAYWRIGHT_BASE_URL=http://localhost:3100 PLAYWRIGHT_RETRIES=0 PLAYWRIGHT_WORKERS=1 bun playwright playwright/integration/examples/inlines.test.ts --project=chromium --grep "inline|link|decorator|void|triple-click|Backspace|Enter"	plugin decoration seems not working for a text-only document	https://github.com/ProseMirror/prosemirror/issues/920	Kept for Decorations, NodeView, inline/atom/void boundaries; closure requires exact Slate-v2 proof, fresh verified Slate-v2 test, or concrete defer owner.
921	CLOSED	keep-portable	model-schema-transform	Document model, schema, transforms, joins, splits, mapping	.tmp/slate-v2/packages/slate/test/transforms-contract.ts; .tmp/slate-v2/packages/slate/test/query-contract.ts	Slate model/operation package proof	refactor-existing/create-new	bun test ./packages/slate/test/transforms-contract.ts ./packages/slate/test/query-contract.ts --test-name-pattern "schema|normalize|join|split|replace|range|node"	prosemirror-inputrules plugin should resolve selections	https://github.com/ProseMirror/prosemirror/issues/921	Kept for Document model, schema, transforms, joins, splits, mapping; closure requires exact Slate-v2 proof, fresh verified Slate-v2 test, or concrete defer owner.
922	OPEN	keep-portable	ime-beforeinput-keyboard	IME, beforeinput, composition, keyboard replacement	.tmp/slate-v2/playwright/integration/examples/richtext.test.ts; .tmp/slate-v2/packages/slate-browser/src/playwright/ime.ts	browser IME/beforeinput proof	refactor-existing/create-new	PLAYWRIGHT_BASE_URL=http://localhost:3100 PLAYWRIGHT_RETRIES=0 PLAYWRIGHT_WORKERS=1 bun playwright playwright/integration/examples/richtext.test.ts --project=chromium --grep "IME|composition|beforeinput"	prosemirror-view 1.9.0 version composition modify problem	https://github.com/ProseMirror/prosemirror/issues/922	Kept for IME, beforeinput, composition, keyboard replacement; closure requires exact Slate-v2 proof, fresh verified Slate-v2 test, or concrete defer owner.
923	CLOSED	skip	support-question	Skip: support-question	N/A	N/A	skip	N/A	dropcursor: body.offsetParent is null	https://github.com/ProseMirror/prosemirror/issues/923	Skipped as support-question; no title-level portable Slate-v2 editor invariant.
924	CLOSED	skip	docs-release-package	Skip: docs-release-package	N/A	N/A	skip	N/A	Calling `EditorView.setProps` re-creates all plugins	https://github.com/ProseMirror/prosemirror/issues/924	Skipped as docs-release-package; no title-level portable Slate-v2 editor invariant.
925	CLOSED	skip	support-question	Skip: support-question	N/A	N/A	skip	N/A	parserules context usage example	https://github.com/ProseMirror/prosemirror/issues/925	Skipped as support-question; no title-level portable Slate-v2 editor invariant.
926	CLOSED	plate-owned	plate-plugin-policy	Product/plugin policy above Slate core	Plate plugin/package/docs/example owner	Plate package/example proof; deferred under Slate-v2-only scope	plate-owned-defer	select Plate package/example owner before applying outside Slate-v2-only run	creating code block with textblockTypeInputRule throws an error	https://github.com/ProseMirror/prosemirror/issues/926	Kept for Product/plugin policy above Slate core; closure requires exact Slate-v2 proof, fresh verified Slate-v2 test, or concrete defer owner.
927	CLOSED	skip	support-question	Skip: support-question	N/A	N/A	skip	N/A	Concat and setInterval errors in ie11	https://github.com/ProseMirror/prosemirror/issues/927	Skipped as support-question; no title-level portable Slate-v2 editor invariant.
928	CLOSED	skip	docs-release-package	Skip: docs-release-package	N/A	N/A	skip	N/A	commands.splitBlock error	https://github.com/ProseMirror/prosemirror/issues/928	Skipped as docs-release-package; no title-level portable Slate-v2 editor invariant.
929	CLOSED	skip	docs-release-package	Skip: docs-release-package	N/A	N/A	skip	N/A	documentation about core, supported, extra modules	https://github.com/ProseMirror/prosemirror/issues/929	Skipped as docs-release-package; no title-level portable Slate-v2 editor invariant.
930	CLOSED	skip	support-question	Skip: support-question	N/A	N/A	skip	N/A	"Unable to get property 'nodeType' of undefined or null reference" when deleting last remaining character of paragraph	https://github.com/ProseMirror/prosemirror/issues/930	Skipped as support-question; no title-level portable Slate-v2 editor invariant.
931	CLOSED	keep-portable	ime-beforeinput-keyboard	IME, beforeinput, composition, keyboard replacement	.tmp/slate-v2/playwright/integration/examples/richtext.test.ts; .tmp/slate-v2/packages/slate-browser/src/playwright/ime.ts	browser IME/beforeinput proof	refactor-existing/create-new	PLAYWRIGHT_BASE_URL=http://localhost:3100 PLAYWRIGHT_RETRIES=0 PLAYWRIGHT_WORKERS=1 bun playwright playwright/integration/examples/richtext.test.ts --project=chromium --grep "IME|composition|beforeinput"	Japanese problem on Safari 	https://github.com/ProseMirror/prosemirror/issues/931	Kept for IME, beforeinput, composition, keyboard replacement; closure requires exact Slate-v2 proof, fresh verified Slate-v2 test, or concrete defer owner.
932	CLOSED	keep-portable	collaboration-rebase	Collaboration, remote steps, shared history, rebasing	.tmp/slate-v2/packages/slate/test/collab-history-runtime-contract.ts; future yjs/browser collaboration lane	package remote-edit/history proof; browser/provider proof when transport matters	create-new/defer-collab-browser	bun test ./packages/slate/test/collab-history-runtime-contract.ts --test-name-pattern "remote|selection|history|collab"	Possible bug in collab#receiveTransactions()	https://github.com/ProseMirror/prosemirror/issues/932	Kept for Collaboration, remote steps, shared history, rebasing; closure requires exact Slate-v2 proof, fresh verified Slate-v2 test, or concrete defer owner.
933	CLOSED	defer	large-doc-performance	Performance, memory, layout, freeze, bundle size	Slate-v2 performance benchmark owner	focused benchmark target with correctness guardrails required	defer-benchmark-target	create or select a Slate-v2 benchmark target before runtime optimization	storeScrollPos / resetScrollPos conflict with Chrome scroll anchoring	https://github.com/ProseMirror/prosemirror/issues/933	Kept for Performance, memory, layout, freeze, bundle size; closure requires exact Slate-v2 proof, fresh verified Slate-v2 test, or concrete defer owner.
934	OPEN	keep-portable	ime-beforeinput-keyboard	IME, beforeinput, composition, keyboard replacement	.tmp/slate-v2/playwright/integration/examples/richtext.test.ts; .tmp/slate-v2/packages/slate-browser/src/playwright/ime.ts	browser IME/beforeinput proof	refactor-existing/create-new	PLAYWRIGHT_BASE_URL=http://localhost:3100 PLAYWRIGHT_RETRIES=0 PLAYWRIGHT_WORKERS=1 bun playwright playwright/integration/examples/richtext.test.ts --project=chromium --grep "IME|composition|beforeinput"	Composition text replacement in Safari removes empty nodes during text composition text deletion	https://github.com/ProseMirror/prosemirror/issues/934	Kept for IME, beforeinput, composition, keyboard replacement; closure requires exact Slate-v2 proof, fresh verified Slate-v2 test, or concrete defer owner.
935	CLOSED	keep-portable	ime-beforeinput-keyboard	IME, beforeinput, composition, keyboard replacement	.tmp/slate-v2/playwright/integration/examples/richtext.test.ts; .tmp/slate-v2/packages/slate-browser/src/playwright/ime.ts	browser IME/beforeinput proof	refactor-existing/create-new	PLAYWRIGHT_BASE_URL=http://localhost:3100 PLAYWRIGHT_RETRIES=0 PLAYWRIGHT_WORKERS=1 bun playwright playwright/integration/examples/richtext.test.ts --project=chromium --grep "IME|composition|beforeinput"	Safari starting composition over and over on Japanese IME after applying marks	https://github.com/ProseMirror/prosemirror/issues/935	Kept for IME, beforeinput, composition, keyboard replacement; closure requires exact Slate-v2 proof, fresh verified Slate-v2 test, or concrete defer owner.
936	CLOSED	keep-portable	collaboration-rebase	Collaboration, remote steps, shared history, rebasing	.tmp/slate-v2/packages/slate/test/collab-history-runtime-contract.ts; future yjs/browser collaboration lane	package remote-edit/history proof; browser/provider proof when transport matters	create-new/defer-collab-browser	bun test ./packages/slate/test/collab-history-runtime-contract.ts --test-name-pattern "remote|selection|history|collab"	prosemirror-collab rebaseSteps documentation missing	https://github.com/ProseMirror/prosemirror/issues/936	Kept for Collaboration, remote steps, shared history, rebasing; closure requires exact Slate-v2 proof, fresh verified Slate-v2 test, or concrete defer owner.
937	CLOSED	keep-portable	decoration-nodeview-inline-void	Decorations, NodeView, inline/atom/void boundaries	.tmp/slate-v2/playwright/integration/examples/inlines.test.ts; .tmp/slate-v2/playwright/integration/examples/editable-voids.test.ts	browser decoration/inline/void boundary proof	refactor-existing/create-new	PLAYWRIGHT_BASE_URL=http://localhost:3100 PLAYWRIGHT_RETRIES=0 PLAYWRIGHT_WORKERS=1 bun playwright playwright/integration/examples/inlines.test.ts --project=chromium --grep "inline|link|decorator|void|triple-click|Backspace|Enter"	Inline nodes marked as selectable false, don't work as expected in Safari / Chrome	https://github.com/ProseMirror/prosemirror/issues/937	Kept for Decorations, NodeView, inline/atom/void boundaries; closure requires exact Slate-v2 proof, fresh verified Slate-v2 test, or concrete defer owner.
938	CLOSED	keep-portable	clipboard-paste-serialization	Clipboard, paste, copy, cut, HTML, markdown, DOM parser/serializer	.tmp/slate-v2/playwright/integration/examples/paste-html.test.ts; .tmp/slate-v2/packages/slate-dom/test/clipboard-boundary.ts	browser clipboard/serialization proof	refactor-existing/create-new	PLAYWRIGHT_BASE_URL=http://localhost:3100 PLAYWRIGHT_RETRIES=0 PLAYWRIGHT_WORKERS=1 bun playwright playwright/integration/examples/paste-html.test.ts --project=chromium --grep "paste|clipboard|copy|cut"	coordsAtPos use undefined parent variable	https://github.com/ProseMirror/prosemirror/issues/938	Kept for Clipboard, paste, copy, cut, HTML, markdown, DOM parser/serializer; closure requires exact Slate-v2 proof, fresh verified Slate-v2 test, or concrete defer owner.
